source,target,n_samples,source_nodes,suff_median,suff_mean,nec_median,nec_mean,random_suff_median,delta_vs_random_median,delta_vs_random_mean,suff_vs_within_ratio,delta_vs_within_ratio
cluster_2,cluster_8,11,12,0.9848484848484849,0.9969802197920202,0.9310344827586207,0.9685874128054852,0.2923076923076923,0.6986301369863013,0.6636206151341653,1.0606060606060606,1.0246575342465754
cluster_2,cluster_2,9,12,0.9285714285714286,0.9531277281759203,1.0909090909090908,1.0727847313380932,0.2631578947368421,0.6818181818181818,0.7225375572475286,1.0,1.0
cluster_2,cluster_1,8,12,0.9859154929577465,0.9907265668061078,1.0158730158730158,1.040355420495649,0.3502906976744186,0.6652929055048573,0.6332534647110932,1.0617551462621886,0.9757629280737908
cluster_2,cluster_10,8,12,0.941025641025641,0.9704277790824969,1.0039232781168264,1.0194892762256025,0.40290290290290287,0.5864589078874793,0.7060439037893332,1.0134122287968441,0.8601397315683031
cluster_2,all_valid,139,12,0.9821428571428571,1.0036140964575135,1.0465116279069768,1.0487004044299593,0.2727272727272727,0.7096774193548386,0.7457258281400467,1.0576923076923077,1.0408602150537634
cluster_1,cluster_0,57,13,0.9074074074074074,0.9009792981777464,0.9361702127659575,0.9615079730932508,0.2631578947368421,0.6415094339622641,0.6639409026745265,0.9654406882129655,1.196052440817679
cluster_1,cluster_6,15,13,0.92,0.9908263600017246,0.8813559322033898,0.8680467066585881,0.38,0.5762711864406781,0.6544753870494121,0.9788386406208188,1.0744199892091018
cluster_1,cluster_12,12,13,0.9311284969179706,0.9558522121371597,0.9565217391304348,0.9183734404268051,0.40236318407960203,0.5672572178477691,0.6083755173671722,0.9906788610505355,1.0576140334955386
cluster_1,cluster_8,11,13,0.9545454545454546,0.9601968028367419,0.8481012658227848,0.9079172185743535,0.410958904109589,0.5342465753424658,0.5313026015591824,1.0155934512370157,0.9960678465633129
cluster_1,cluster_2,9,13,0.8679245283018868,0.8543070103368602,0.9607843137254902,0.9377971036347693,0.36363636363636365,0.4716981132075472,0.49048920170919125,0.9234326798309612,0.8794503241306464
cluster_1,cluster_1,8,13,0.9398893360160966,0.9507479581846171,0.9226190476190477,0.9351944319375614,0.35820895522388063,0.5363556078893141,0.5656032519042735,1.0,1.0
cluster_1,cluster_10,8,13,0.8288288288288288,0.8716513774636838,0.8705318221447254,0.8743957450712191,0.28209348255431205,0.543424317617866,0.538957584511241,0.8818366131719089,1.013179147611356
cluster_1,all_valid,139,13,0.9154929577464789,0.9292823769046367,0.926829268292683,0.9283902643766188,0.36363636363636365,0.5652173913043478,0.6022367152130215,0.974043350280974,1.0538109101322004
cluster_10,cluster_0,57,14,0.975,0.9552121303691087,1.0188679245283019,1.017404122149235,0.3409090909090909,0.6341463414634146,0.647750666428667,1.0440315974253949,1.4534414072922321
cluster_10,cluster_6,15,14,1.0,1.0089991444212068,0.9117647058823529,0.8759815036288583,0.5797101449275363,0.4,0.45834654415527953,1.0708016383850203,0.9167861184458694
cluster_10,cluster_12,12,14,0.9864864864864865,1.0022479613860231,0.9509803921568627,0.9482643786690138,0.5042372881355932,0.5055407801418439,0.6094498438945631,1.0563313459744121,1.1586819238558443
cluster_10,cluster_8,11,14,0.98,0.9798826969794523,0.9113924050632911,0.9195791273910434,0.3287671232876712,0.576923076923077,0.6151226555875794,1.0493856056173199,1.3222876708353888
cluster_10,cluster_2,9,14,0.9107142857142857,0.9218028809228644,1.0535714285714286,0.9988406656334105,0.13725490196078433,0.7647058823529411,0.6726009626865401,0.9751943492435007,1.7526793440876913
