source,source_build_mode,source_cluster_id,source_cluster_size,target,n_samples,source_nodes,suff_median,suff_mean,nec_median,nec_mean,random_suff_median,delta_vs_random_median,delta_vs_random_mean,suff_vs_within_ratio,delta_vs_within_ratio
cluster_12,compact_support,12,12,cluster_2,9,4,0.6792452830188679,0.6873143147502048,0.7543859649122807,0.7412565378232182,0.07142857142857142,0.5909090909090908,0.6249551311602248,0.8447994954538287,0.825653798256538
cluster_12,compact_support,12,12,cluster_10,8,4,0.7024590163934425,0.7229338439001693,0.6724062772449869,0.6916578140033228,0.15381708238851094,0.6028528528528528,0.5632769999653546,0.8736711721996437,0.8423423423423424
cluster_12,compact_support,12,12,cluster_1,8,4,0.8102364185110664,0.8132972090051225,0.7213930348258706,0.7572805079183924,0.20054656295984866,0.6765724946695096,0.6532842898052793,1.0077174397359085,0.9453478692642465
cluster_12,compact_support,12,12,all_valid,139,4,0.7761194029850746,0.782461250751178,0.7457627118644068,0.7490136559450857,0.1,0.6885245901639344,0.6796696334320139,0.9652849956346402,0.9620480574893332
cluster_8,compact_support,8,11,cluster_0,57,4,0.9206349206349206,0.9279052498514122,1.0810810810810811,1.0983004755208967,0.07936507936507936,0.847457627118644,0.83169063405962,0.9494047619047619,1.0088781275221952
cluster_8,compact_support,8,11,cluster_6,15,4,0.9375,1.0443226329393387,0.9791666666666666,1.0864872973364519,0.14583333333333334,0.82,0.8659700606886365,0.966796875,0.976190476190476
cluster_8,compact_support,8,11,cluster_12,12,4,1.0,0.9863937798130861,1.0215471936094178,1.0291506985921688,0.08449127682569091,0.9699754901960784,0.9013172216008914,1.03125,1.1547327264239027
cluster_8,compact_support,8,11,cluster_8,11,4,0.9696969696969697,0.9746545724781582,1.0104166666666667,0.9936808734147895,0.1,0.8400000000000001,0.8752375065694257,1.0,1.0
cluster_8,compact_support,8,11,cluster_2,9,4,0.7924528301886793,0.8091419593726972,0.9056603773584906,0.9371246196411218,0.045454545454545456,0.7857142857142857,0.7507799188607063,0.8172169811320755,0.9353741496598639
cluster_8,compact_support,8,11,cluster_10,8,4,0.7851092896174863,0.8616500890156175,0.8768817204301076,0.8902775767940647,0.14921378387420542,0.6822194199243379,0.7001419017052279,0.8096439549180326,0.8121659761004022
