q_index,weight,gap,detailed_ratio_vs_gap,necessity_ratio_vs_gap,ap_mode
91,0.7555029585798817,8.125,0.8615384615384616,0.8769230769230769,full
92,1.0,3.25,1.2692307692307692,1.2692307692307692,full
93,0.0,0.0,nan,nan,full
94,1.0,5.375,1.186046511627907,1.2325581395348837,full
95,0.7420118343195267,8.125,0.8769230769230769,0.8461538461538461,full
96,0.9070294784580498,5.25,0.9523809523809523,0.9523809523809523,full
97,0.7985513807152557,5.875,0.8936170212765957,0.8936170212765957,full
98,0.8456632653061225,7.0,0.9107142857142857,0.9285714285714286,full
99,0.0,0.0,nan,nan,full
100,1.0,7.375,1.0169491525423728,1.0,full
101,0.9057918420670634,10.375,0.963855421686747,0.9397590361445783,full
102,0.8667617335234671,15.875,0.9448818897637795,0.9173228346456693,full
103,0.9846153846153847,8.125,0.9846153846153847,1.0307692307692307,full
104,0.9205624543462381,9.25,0.9594594594594594,0.9594594594594594,full
105,0.926954732510288,6.75,0.9444444444444444,0.9814814814814815,full
106,1.0,8.25,1.0606060606060606,1.0454545454545454,full
107,0.774,6.25,0.86,0.9,full
108,1.0,9.75,1.064102564102564,1.0769230769230769,full
109,1.0,3.625,1.1379310344827587,1.1724137931034482,full
110,0.0,0.0,nan,nan,full
111,0.8304758852747958,9.875,0.9240506329113924,0.8987341772151899,full
112,0.853869572183945,9.875,0.9240506329113924,0.9240506329113924,full
113,0.9023999999999999,6.25,0.94,0.96,full
114,0.0,0.0,nan,nan,full
115,1.0,7.375,1.11864406779661,1.1355932203389831,full
116,0.0,0.0,nan,nan,full
117,0.806952025280092,7.375,0.8983050847457628,0.8983050847457628,full
118,0.9591836734693877,6.125,1.0204081632653061,0.9591836734693877,full
119,0.888470841171728,7.625,0.9344262295081968,0.9508196721311475,full
120,1.0,2.25,1.3888888888888888,1.4166666666666667,full
121,0.9911504424778761,14.125,0.9911504424778761,1.0,full
122,0.9070294784580498,7.875,0.9523809523809523,0.9523809523809523,full
123,0.8728836334318731,7.625,0.9180327868852459,0.9508196721311475,full
124,0.9256198347107438,8.25,0.9545454545454546,0.9696969696969697,full
125,0.0,0.0,nan,nan,full
126,0.9470663265306122,7.0,0.9642857142857143,0.9821428571428571,full
127,0.0,0.0,nan,nan,full
128,0.0,0.0,nan,nan,full
129,0.9846153846153847,8.125,0.9846153846153847,1.0307692307692307,full
130,0.5119113573407202,4.75,0.868421052631579,0.8421052631578947,zero_fallback
131,0.8579881656804734,9.75,0.9294871794871795,0.9230769230769231,full
132,0.0,0.0,nan,nan,full
133,1.0,4.625,1.0810810810810811,1.1081081081081081,full
134,0.9777777777777777,5.625,1.0,0.9777777777777777,full
135,1.0,5.875,1.148936170212766,1.1702127659574468,full
136,0.9444444444444444,6.75,0.9444444444444444,1.0185185185185186,full
137,0.9298245614035088,7.125,0.9298245614035088,1.0,full
138,0.7511111111111112,5.625,0.8666666666666667,0.8666666666666667,full
139,0.9512195121951219,5.125,1.0,0.9512195121951219,full
140,1.0,4.75,1.0263157894736843,1.0789473684210527,full
141,0.9267097349075518,8.375,0.9701492537313433,0.9552238805970149,full
142,0.8204158790170132,8.625,0.9130434782608695,0.8985507246376812,full
143,0.8984375,6.0,0.9375,0.9583333333333334,full
144,0.9194436979306638,15.25,0.9754098360655737,0.9426229508196722,full
145,1.0,3.875,1.2258064516129032,1.2258064516129032,full
146,0.9743589743589743,4.875,0.9743589743589743,1.0256410256410255,full
147,0.9859154929577465,8.875,0.9859154929577465,1.028169014084507,full
148,0.9534883720930233,5.375,0.9534883720930233,1.0465116279069768,full
149,0.9811320754716981,6.625,0.9811320754716981,1.0,full
150,0.9050925925925926,9.0,0.9444444444444444,0.9583333333333334,full
151,0.9795918367346939,6.125,0.9795918367346939,1.0,full
152,0.8517011834319527,6.5,0.9038461538461539,0.9423076923076923,full
153,0.8841612831365561,8.375,0.9402985074626866,0.9402985074626866,full
154,0.0,0.0,nan,nan,full
155,1.0,9.125,1.0273972602739727,1.0273972602739727,full
156,1.0,5.5,1.0,1.0681818181818181,full
157,1.0,6.875,1.0272727272727273,1.0727272727272728,full
158,0.9122298952996214,8.375,0.9402985074626866,0.9701492537313433,full
159,1.0,3.875,1.0,1.1290322580645162,full
160,0.0,0.0,nan,nan,full
161,0.8373964497041421,8.125,0.8923076923076924,0.9384615384615385,full
162,0.9751562500000001,10.0,0.9875,0.9875,full
163,1.0,7.5,1.0333333333333334,1.0333333333333334,full
164,0.9459560893225746,9.125,0.9726027397260274,0.9726027397260274,full
