q_index,gap,orig_suff_ratio,orig_nec_ratio,refined_suff_ratio,refined_nec_ratio,k_local,n_refined_nodes,n_orig_nodes
140,4.75,1.0263157894736843,1.0789473684210527,0.8157894736842105,0.868421052631579,0,10,16
141,8.375,0.9701492537313433,0.9552238805970149,0.8955223880597015,0.9104477611940298,0,10,16
142,8.625,0.9130434782608695,0.8985507246376812,0.8695652173913043,0.8695652173913043,0,10,16
143,6.0,0.9375,0.9583333333333334,0.8541666666666666,0.8958333333333334,0,10,16
144,15.25,0.9754098360655737,0.9426229508196722,0.9262295081967213,0.9098360655737705,0,10,16
145,3.875,1.2258064516129032,1.2258064516129032,1.2903225806451613,1.3225806451612903,0,10,16
146,4.875,0.9743589743589743,1.0256410256410255,0.8717948717948718,0.9487179487179487,0,10,16
147,8.875,0.9859154929577465,1.028169014084507,0.9436619718309859,0.971830985915493,0,10,16
148,5.375,0.9534883720930233,1.0465116279069768,0.9069767441860465,0.9534883720930233,0,10,16
149,6.625,0.9811320754716981,1.0,0.8867924528301887,0.9622641509433962,0,10,16
150,9.0,0.9444444444444444,0.9583333333333334,0.9166666666666666,0.9444444444444444,0,10,16
151,6.125,0.9795918367346939,1.0,0.9387755102040817,0.9591836734693877,0,10,16
152,6.5,0.9038461538461539,0.9423076923076923,0.8461538461538461,0.8846153846153846,0,10,16
153,8.375,0.9402985074626866,0.9402985074626866,0.8955223880597015,0.9104477611940298,0,10,16
154,0.0,nan,nan,nan,nan,0,10,10
155,9.125,1.0273972602739727,1.0273972602739727,1.0136986301369864,1.0273972602739727,0,10,16
156,5.5,1.0,1.0681818181818181,0.9545454545454546,0.9545454545454546,0,10,16
157,6.875,1.0272727272727273,1.0727272727272728,0.9636363636363636,0.9636363636363636,0,10,16
158,8.375,0.9402985074626866,0.9701492537313433,0.8955223880597015,0.9402985074626866,0,10,16
159,3.875,1.0,1.1290322580645162,0.9354838709677419,1.032258064516129,0,10,16
160,0.0,nan,nan,nan,nan,0,10,10
161,8.125,0.8923076923076924,0.9384615384615385,0.9230769230769231,0.9076923076923077,0,10,16
162,10.0,0.9875,0.9875,0.925,0.925,0,10,16
163,7.5,1.0333333333333334,1.0333333333333334,1.0166666666666666,1.0166666666666666,0,10,16
164,9.125,0.9726027397260274,0.9726027397260274,0.8904109589041096,0.8904109589041096,0,10,16
