q_index,node,node_role,gap,full_suff_ratio,full_nec_ratio,node_suff_ratio,node_nec_ratio,minus_node_suff_ratio,minus_node_nec_ratio,drop_full_suff,drop_full_nec
33,L24H6,Tool-Tag Reader / Distractor Suppressor,9.25,0.9459459459459459,0.9324324324324325,0.43243243243243246,0.2702702702702703,0.9324324324324325,0.8783783783783784,0.013513513513513487,0.05405405405405406
33,MLP27,Primary Writer MLP,9.25,0.9459459459459459,0.9324324324324325,0.44594594594594594,0.35135135135135137,0.8918918918918919,0.8513513513513513,0.05405405405405406,0.08108108108108114
36,MLP11,Aux MLP,7.375,0.864406779661017,0.864406779661017,0.1694915254237288,0.1016949152542373,0.847457627118644,0.864406779661017,0.016949152542372947,0.0
36,L17H8,Format Router / Target+Suppressor,7.375,0.864406779661017,0.864406779661017,0.288135593220339,0.22033898305084745,0.8305084745762712,0.8305084745762712,0.03389830508474578,0.03389830508474578
36,MLP20,Aux MLP,7.375,0.864406779661017,0.864406779661017,0.1694915254237288,0.06779661016949153,0.9152542372881356,0.9152542372881356,-0.05084745762711862,-0.05084745762711862
36,L20H5,Query Reader / Distractor Suppressor,7.375,0.864406779661017,0.864406779661017,0.3389830508474576,0.1864406779661017,0.8305084745762712,0.8305084745762712,0.03389830508474578,0.03389830508474578
36,L21H1,Format Router / Target+Suppressor,7.375,0.864406779661017,0.864406779661017,0.4067796610169492,0.1864406779661017,0.8305084745762712,0.8135593220338984,0.03389830508474578,0.05084745762711862
36,L21H12,Format Router / Target+Suppressor,7.375,0.864406779661017,0.864406779661017,0.3898305084745763,0.1694915254237288,0.7966101694915254,0.7627118644067796,0.06779661016949157,0.10169491525423735
36,MLP22,Support Suppressor MLP,7.375,0.864406779661017,0.864406779661017,0.15254237288135594,0.03389830508474576,0.8813559322033898,0.8813559322033898,-0.016949152542372836,-0.016949152542372836
36,L23H6,Format Router / Distractor Suppressor,7.375,0.864406779661017,0.864406779661017,0.2711864406779661,0.13559322033898305,0.8305084745762712,0.8135593220338984,0.03389830508474578,0.05084745762711862
36,L24H6,Tool-Tag Reader / Distractor Suppressor,7.375,0.864406779661017,0.864406779661017,0.22033898305084745,0.13559322033898305,0.864406779661017,0.8305084745762712,0.0,0.03389830508474578
36,MLP27,Primary Writer MLP,7.375,0.864406779661017,0.864406779661017,0.3220338983050847,0.23728813559322035,0.8305084745762712,0.8135593220338984,0.03389830508474578,0.05084745762711862
37,MLP11,Aux MLP,7.75,0.9032258064516129,0.8870967741935484,0.08064516129032258,0.08064516129032258,0.9032258064516129,0.8709677419354839,0.0,0.016129032258064502
37,L17H8,Format Router / Target+Suppressor,7.75,0.9032258064516129,0.8870967741935484,0.3225806451612903,0.1935483870967742,0.8548387096774194,0.8387096774193549,0.048387096774193505,0.048387096774193505
37,MLP20,Aux MLP,7.75,0.9032258064516129,0.8870967741935484,0.03225806451612903,-0.016129032258064516,0.9354838709677419,0.9516129032258065,-0.032258064516129004,-0.06451612903225812
37,L20H5,Query Reader / Distractor Suppressor,7.75,0.9032258064516129,0.8870967741935484,0.3064516129032258,0.1935483870967742,0.8709677419354839,0.8709677419354839,0.032258064516129004,0.016129032258064502
37,L21H1,Format Router / Target+Suppressor,7.75,0.9032258064516129,0.8870967741935484,0.41935483870967744,0.1935483870967742,0.8709677419354839,0.8548387096774194,0.032258064516129004,0.032258064516129004
37,L21H12,Format Router / Target+Suppressor,7.75,0.9032258064516129,0.8870967741935484,0.43548387096774194,0.1935483870967742,0.8387096774193549,0.7903225806451613,0.06451612903225801,0.09677419354838712
37,MLP22,Support Suppressor MLP,7.75,0.9032258064516129,0.8870967741935484,0.16129032258064516,0.0,0.9354838709677419,0.9516129032258065,-0.032258064516129004,-0.06451612903225812
37,L23H6,Format Router / Distractor Suppressor,7.75,0.9032258064516129,0.8870967741935484,0.3225806451612903,0.11290322580645161,0.8709677419354839,0.8548387096774194,0.032258064516129004,0.032258064516129004
37,L24H6,Tool-Tag Reader / Distractor Suppressor,7.75,0.9032258064516129,0.8870967741935484,0.2903225806451613,0.16129032258064516,0.9032258064516129,0.8387096774193549,0.0,0.048387096774193505
37,MLP27,Primary Writer MLP,7.75,0.9032258064516129,0.8870967741935484,0.41935483870967744,0.3225806451612903,0.8225806451612904,0.7903225806451613,0.08064516129032251,0.09677419354838712
38,MLP11,Aux MLP,6.75,0.9259259259259259,0.9074074074074074,0.24074074074074073,0.05555555555555555,0.8888888888888888,0.8888888888888888,0.03703703703703709,0.0185185185185186
38,L17H8,Format Router / Target+Suppressor,6.75,0.9259259259259259,0.9074074074074074,0.4444444444444444,0.3333333333333333,0.8888888888888888,0.8888888888888888,0.03703703703703709,0.0185185185185186
38,MLP20,Aux MLP,6.75,0.9259259259259259,0.9074074074074074,0.07407407407407407,0.05555555555555555,0.9629629629629629,0.9444444444444444,-0.03703703703703698,-0.03703703703703698
38,L20H5,Query Reader / Distractor Suppressor,6.75,0.9259259259259259,0.9074074074074074,0.25925925925925924,0.18518518518518517,0.8888888888888888,0.8888888888888888,0.03703703703703709,0.0185185185185186
38,L21H1,Format Router / Target+Suppressor,6.75,0.9259259259259259,0.9074074074074074,0.48148148148148145,0.24074074074074073,0.8888888888888888,0.9074074074074074,0.03703703703703709,0.0
38,L21H12,Format Router / Target+Suppressor,6.75,0.9259259259259259,0.9074074074074074,0.5370370370370371,0.2962962962962963,0.8703703703703703,0.8148148148148148,0.05555555555555558,0.09259259259259267
38,MLP22,Support Suppressor MLP,6.75,0.9259259259259259,0.9074074074074074,0.14814814814814814,0.05555555555555555,0.9444444444444444,0.9814814814814815,-0.01851851851851849,-0.07407407407407407
38,L23H6,Format Router / Distractor Suppressor,6.75,0.9259259259259259,0.9074074074074074,0.2962962962962963,0.14814814814814814,0.9074074074074074,0.8888888888888888,0.01851851851851849,0.0185185185185186
38,L24H6,Tool-Tag Reader / Distractor Suppressor,6.75,0.9259259259259259,0.9074074074074074,0.37037037037037035,0.25925925925925924,0.9444444444444444,0.9629629629629629,-0.01851851851851849,-0.05555555555555547
38,MLP27,Primary Writer MLP,6.75,0.9259259259259259,0.9074074074074074,0.35185185185185186,0.2962962962962963,0.9074074074074074,0.8888888888888888,0.01851851851851849,0.0185185185185186
39,MLP11,Aux MLP,7.625,0.8524590163934426,0.8852459016393442,0.2459016393442623,0.09836065573770492,0.8524590163934426,0.8688524590163934,0.0,0.016393442622950838
39,L17H8,Format Router / Target+Suppressor,7.625,0.8524590163934426,0.8852459016393442,0.3770491803278688,0.16393442622950818,0.8360655737704918,0.8360655737704918,0.016393442622950727,0.0491803278688524
39,MLP20,Aux MLP,7.625,0.8524590163934426,0.8852459016393442,0.21311475409836064,0.09836065573770492,0.8852459016393442,0.8688524590163934,-0.032786885245901676,0.016393442622950838
39,L20H5,Query Reader / Distractor Suppressor,7.625,0.8524590163934426,0.8852459016393442,0.3114754098360656,0.18032786885245902,0.8524590163934426,0.8524590163934426,0.0,0.032786885245901676
39,L21H1,Format Router / Target+Suppressor,7.625,0.8524590163934426,0.8852459016393442,0.39344262295081966,0.11475409836065574,0.8524590163934426,0.8360655737704918,0.0,0.0491803278688524
39,L21H12,Format Router / Target+Suppressor,7.625,0.8524590163934426,0.8852459016393442,0.39344262295081966,0.14754098360655737,0.8360655737704918,0.7704918032786885,0.016393442622950727,0.11475409836065575
