mode,q_index,group,n_nodes,gap_aug,full_suff_ratio,full_nec_ratio,suff_ratio,nec_ratio,suff_minus_ratio,nec_minus_ratio,drop_full_suff,drop_full_nec
user_json_pad,16,full_core,10,9.625,0.987012987012987,0.9675324675324676,0.987012987012987,0.9675324675324676,nan,nan,nan,nan
user_json_pad,16,stable_necessary_backbone,2,9.625,0.987012987012987,0.9675324675324676,0.6233766233766234,0.538961038961039,0.7662337662337663,0.7467532467532467,0.22077922077922074,0.22077922077922085
user_json_pad,16,stable_but_weak_or_redundant,6,9.625,0.987012987012987,0.9675324675324676,0.7142857142857143,0.7012987012987013,0.8701298701298701,0.8376623376623377,0.11688311688311692,0.1298701298701299
user_json_pad,16,all_heads,6,9.625,0.987012987012987,0.9675324675324676,0.7922077922077922,0.8116883116883117,0.7792207792207793,0.7142857142857143,0.20779220779220775,0.2532467532467533
user_json_pad,16,all_mlps,4,9.625,0.987012987012987,0.9675324675324676,0.7792207792207793,0.7142857142857143,0.7922077922077922,0.8116883116883117,0.19480519480519476,0.1558441558441559
user_json_pad,17,full_core,10,9.6875,1.0774193548387097,1.0451612903225806,1.0774193548387097,1.0451612903225806,nan,nan,nan,nan
user_json_pad,17,stable_necessary_backbone,2,9.6875,1.0774193548387097,1.0451612903225806,0.7290322580645161,0.6193548387096774,0.8709677419354839,0.7935483870967742,0.20645161290322578,0.25161290322580643
user_json_pad,17,stable_but_weak_or_redundant,6,9.6875,1.0774193548387097,1.0451612903225806,0.8580645161290322,0.8516129032258064,0.9354838709677419,0.9548387096774194,0.14193548387096777,0.0903225806451613
user_json_pad,17,all_heads,6,9.6875,1.0774193548387097,1.0451612903225806,0.9354838709677419,0.9419354838709677,0.8451612903225807,0.8258064516129032,0.23225806451612896,0.21935483870967742
user_json_pad,17,all_mlps,4,9.6875,1.0774193548387097,1.0451612903225806,0.8451612903225807,0.8258064516129032,0.9354838709677419,0.9419354838709677,0.14193548387096777,0.10322580645161294
user_json_pad,18,full_core,10,10.375,1.0481927710843373,1.0421686746987953,1.0481927710843373,1.0421686746987953,nan,nan,nan,nan
user_json_pad,18,stable_necessary_backbone,2,10.375,1.0481927710843373,1.0421686746987953,0.6987951807228916,0.5903614457831325,0.8674698795180723,0.7710843373493976,0.18072289156626498,0.27108433734939763
user_json_pad,18,stable_but_weak_or_redundant,6,10.375,1.0481927710843373,1.0421686746987953,0.8072289156626506,0.8132530120481928,0.927710843373494,0.9759036144578314,0.12048192771084332,0.0662650602409639
user_json_pad,18,all_heads,6,10.375,1.0481927710843373,1.0421686746987953,0.9036144578313253,0.927710843373494,0.8313253012048193,0.8433734939759037,0.216867469879518,0.1987951807228916
user_json_pad,18,all_mlps,4,10.375,1.0481927710843373,1.0421686746987953,0.8313253012048193,0.8433734939759037,0.9036144578313253,0.927710843373494,0.14457831325301196,0.1144578313253013
user_json_pad,19,full_core,10,11.0625,0.8983050847457628,0.8870056497175142,0.8983050847457628,0.8870056497175142,nan,nan,nan,nan
user_json_pad,19,stable_necessary_backbone,2,11.0625,0.8983050847457628,0.8870056497175142,0.6045197740112994,0.519774011299435,0.8192090395480226,0.8248587570621468,0.07909604519774016,0.062146892655367325
user_json_pad,19,stable_but_weak_or_redundant,6,11.0625,0.8983050847457628,0.8870056497175142,0.8418079096045198,0.8248587570621468,0.7966101694915254,0.7344632768361582,0.10169491525423735,0.15254237288135597
user_json_pad,19,all_heads,6,11.0625,0.8983050847457628,0.8870056497175142,0.8870056497175142,0.8870056497175142,0.7401129943502824,0.672316384180791,0.15819209039548032,0.21468926553672318
user_json_pad,19,all_mlps,4,11.0625,0.8983050847457628,0.8870056497175142,0.7401129943502824,0.672316384180791,0.8870056497175142,0.8870056497175142,0.011299435028248594,0.0
user_json_pad,20,full_core,10,9.75,0.9871794871794872,0.9615384615384616,0.9871794871794872,0.9615384615384616,nan,nan,nan,nan
user_json_pad,20,stable_necessary_backbone,2,9.75,0.9871794871794872,0.9615384615384616,0.6410256410256411,0.5256410256410257,0.8461538461538461,0.7692307692307693,0.14102564102564108,0.1923076923076923
user_json_pad,20,stable_but_weak_or_redundant,6,9.75,0.9871794871794872,0.9615384615384616,0.782051282051282,0.7692307692307693,0.8333333333333334,0.8589743589743589,0.15384615384615385,0.10256410256410264
user_json_pad,20,all_heads,6,9.75,0.9871794871794872,0.9615384615384616,0.8589743589743589,0.8717948717948718,0.782051282051282,0.7692307692307693,0.20512820512820518,0.1923076923076923
user_json_pad,20,all_mlps,4,9.75,0.9871794871794872,0.9615384615384616,0.782051282051282,0.7692307692307693,0.8589743589743589,0.8717948717948718,0.1282051282051283,0.08974358974358976
user_json_pad,21,full_core,10,14.0,1.0089285714285714,1.0044642857142858,1.0089285714285714,1.0044642857142858,nan,nan,nan,nan
user_json_pad,21,stable_necessary_backbone,2,14.0,1.0089285714285714,1.0044642857142858,0.6607142857142857,0.4732142857142857,0.9107142857142857,0.8571428571428571,0.0982142857142857,0.14732142857142871
user_json_pad,21,stable_but_weak_or_redundant,6,14.0,1.0089285714285714,1.0044642857142858,0.8392857142857143,0.8258928571428571,0.8839285714285714,0.8035714285714286,0.125,0.2008928571428572
user_json_pad,21,all_heads,6,14.0,1.0089285714285714,1.0044642857142858,0.875,0.9017857142857143,0.8214285714285714,0.7142857142857143,0.1875,0.2901785714285715
user_json_pad,21,all_mlps,4,14.0,1.0089285714285714,1.0044642857142858,0.8214285714285714,0.7142857142857143,0.875,0.9017857142857143,0.1339285714285714,0.10267857142857151
user_json_pad,22,full_core,10,7.3125,0.8461538461538461,0.811965811965812,0.8461538461538461,0.811965811965812,nan,nan,nan,nan
user_json_pad,22,stable_necessary_backbone,2,7.3125,0.8461538461538461,0.811965811965812,0.5726495726495726,0.5213675213675214,0.7606837606837606,0.717948717948718,0.0854700854700855,0.09401709401709402
user_json_pad,22,stable_but_weak_or_redundant,6,7.3125,0.8461538461538461,0.811965811965812,0.9487179487179487,0.8717948717948718,0.7435897435897436,0.717948717948718,0.10256410256410253,0.09401709401709402
user_json_pad,22,all_heads,6,7.3125,0.8461538461538461,0.811965811965812,1.0341880341880343,0.9829059829059829,0.5213675213675214,0.49572649572649574,0.32478632478632474,0.3162393162393162
user_json_pad,22,all_mlps,4,7.3125,0.8461538461538461,0.811965811965812,0.5213675213675214,0.49572649572649574,1.0341880341880343,0.9829059829059829,-0.18803418803418814,-0.1709401709401709
user_json_pad,23,full_core,10,11.125,0.9325842696629213,0.9157303370786517,0.9325842696629213,0.9157303370786517,nan,nan,nan,nan
user_json_pad,23,stable_necessary_backbone,2,11.125,0.9325842696629213,0.9157303370786517,0.6067415730337079,0.48314606741573035,0.7865168539325843,0.7528089887640449,0.146067415730337,0.1629213483146068
user_json_pad,23,stable_but_weak_or_redundant,6,11.125,0.9325842696629213,0.9157303370786517,0.7415730337078652,0.7303370786516854,0.7865168539325843,0.8089887640449438,0.146067415730337,0.1067415730337079
user_json_pad,23,all_heads,6,11.125,0.9325842696629213,0.9157303370786517,0.7865168539325843,0.8033707865168539,0.7191011235955056,0.7415730337078652,0.2134831460674157,0.1741573033707865
user_json_pad,23,all_mlps,4,11.125,0.9325842696629213,0.9157303370786517,0.7191011235955056,0.7415730337078652,0.7865168539325843,0.8033707865168539,0.146067415730337,0.1123595505617978
user_json_pad,25,full_core,10,11.25,1.0333333333333334,1.0444444444444445,1.0333333333333334,1.0444444444444445,nan,nan,nan,nan
user_json_pad,25,stable_necessary_backbone,2,11.25,1.0333333333333334,1.0444444444444445,0.7333333333333333,0.5555555555555556,0.8666666666666667,0.7888888888888889,0.16666666666666674,0.25555555555555565
user_json_pad,25,stable_but_weak_or_redundant,6,11.25,1.0333333333333334,1.0444444444444445,0.8222222222222222,0.7888888888888889,0.8777777777777778,0.8111111111111111,0.15555555555555567,0.2333333333333334
user_json_pad,25,all_heads,6,11.25,1.0333333333333334,1.0444444444444445,0.8777777777777778,0.8666666666666667,0.8111111111111111,0.7333333333333333,0.22222222222222232,0.3111111111111112
user_json_pad,25,all_mlps,4,11.25,1.0333333333333334,1.0444444444444445,0.8111111111111111,0.7333333333333333,0.8777777777777778,0.8666666666666667,0.15555555555555567,0.1777777777777778
user_json_pad,26,full_core,10,8.125,1.1692307692307693,1.2153846153846153,1.1692307692307693,1.2153846153846153,nan,nan,nan,nan
user_json_pad,26,stable_necessary_backbone,2,8.125,1.1692307692307693,1.2153846153846153,0.676923076923077,0.5846153846153846,1.0769230769230769,1.0153846153846153,0.09230769230769242,0.19999999999999996
user_json_pad,26,stable_but_weak_or_redundant,6,8.125,1.1692307692307693,1.2153846153846153,1.0153846153846153,1.0,0.9538461538461539,1.0769230769230769,0.2153846153846154,0.1384615384615384
user_json_pad,26,all_heads,6,8.125,1.1692307692307693,1.2153846153846153,0.9692307692307692,1.0076923076923077,0.9384615384615385,1.0153846153846153,0.23076923076923084,0.19999999999999996
user_json_pad,26,all_mlps,4,8.125,1.1692307692307693,1.2153846153846153,0.9384615384615385,1.0153846153846153,0.9692307692307692,1.0076923076923077,0.20000000000000007,0.20769230769230762
user_json_pad,27,full_core,10,9.8125,0.9617834394904459,0.9617834394904459,0.9617834394904459,0.9617834394904459,nan,nan,nan,nan
user_json_pad,27,stable_necessary_backbone,2,9.8125,0.9617834394904459,0.9617834394904459,0.5796178343949044,0.5095541401273885,0.821656050955414,0.7515923566878981,0.14012738853503182,0.21019108280254772
user_json_pad,27,stable_but_weak_or_redundant,6,9.8125,0.9617834394904459,0.9617834394904459,0.7579617834394905,0.7006369426751592,0.821656050955414,0.8280254777070064,0.14012738853503182,0.13375796178343946
user_json_pad,27,all_heads,6,9.8125,0.9617834394904459,0.9617834394904459,0.8089171974522293,0.7707006369426752,0.7452229299363057,0.7388535031847133,0.2165605095541402,0.22292993630573255
user_json_pad,27,all_mlps,4,9.8125,0.9617834394904459,0.9617834394904459,0.7452229299363057,0.7388535031847133,0.8089171974522293,0.7707006369426752,0.15286624203821653,0.19108280254777066
user_json_pad,28,full_core,10,6.625,1.0188679245283019,1.0377358490566038,1.0188679245283019,1.0377358490566038,nan,nan,nan,nan
user_json_pad,28,stable_necessary_backbone,2,6.625,1.0188679245283019,1.0377358490566038,0.6226415094339622,0.5283018867924528,0.8113207547169812,0.7547169811320755,0.2075471698113207,0.28301886792452824
