q_index,group,n_nodes,suff_ratio,nec_ratio,suff_minus_ratio,nec_minus_ratio,delta_full_suff_drop,delta_full_nec_drop,gap
90,all_mlps,4,0.5208333333333334,0.3958333333333333,1.0,1.125,-0.10416666666666663,-0.20833333333333337,6.0
91,full_core,10,0.8909090909090909,0.9454545454545454,nan,nan,0.0,0.0,6.875
91,contextual_supporter,4,0.6909090909090909,0.6909090909090909,0.8909090909090909,0.8909090909090909,0.0,0.054545454545454564,6.875
91,essential_backbone,3,0.9636363636363636,1.0363636363636364,0.7272727272727273,0.7454545454545455,0.16363636363636358,0.19999999999999996,6.875
91,redundant_or_interfering,3,0.5272727272727272,0.43636363636363634,1.0363636363636364,1.1090909090909091,-0.1454545454545455,-0.1636363636363637,6.875
91,all_heads,6,1.0727272727272728,1.1272727272727272,0.4727272727272727,0.4727272727272727,0.41818181818181815,0.4727272727272727,6.875
91,all_mlps,4,0.4727272727272727,0.4727272727272727,1.0727272727272728,1.1272727272727272,-0.18181818181818188,-0.18181818181818177,6.875
92,full_core,10,1.1944444444444444,1.1944444444444444,nan,nan,0.0,0.0,4.5
92,contextual_supporter,4,1.0833333333333333,0.8333333333333334,1.0555555555555556,1.1111111111111112,0.13888888888888884,0.08333333333333326,4.5
92,essential_backbone,3,1.1666666666666667,1.3333333333333333,1.0,0.9722222222222222,0.19444444444444442,0.2222222222222222,4.5
92,redundant_or_interfering,3,0.6111111111111112,0.5555555555555556,1.4444444444444444,1.4166666666666667,-0.25,-0.22222222222222232,4.5
92,all_heads,6,1.2777777777777777,1.2777777777777777,0.8055555555555556,0.6111111111111112,0.38888888888888884,0.5833333333333333,4.5
92,all_mlps,4,0.8055555555555556,0.6111111111111112,1.2777777777777777,1.2777777777777777,-0.08333333333333326,-0.08333333333333326,4.5
94,full_core,10,0.8666666666666667,0.9111111111111111,nan,nan,0.0,0.0,5.625
94,contextual_supporter,4,0.6222222222222222,0.6,0.7333333333333333,0.7777777777777778,0.13333333333333341,0.1333333333333333,5.625
94,essential_backbone,3,0.8,0.8444444444444444,0.6888888888888889,0.6444444444444445,0.1777777777777778,0.2666666666666666,5.625
94,redundant_or_interfering,3,0.3333333333333333,0.2222222222222222,0.9333333333333333,0.9333333333333333,-0.06666666666666665,-0.022222222222222254,5.625
94,all_heads,6,0.8444444444444444,0.9333333333333333,0.4888888888888889,0.4,0.3777777777777778,0.5111111111111111,5.625
94,all_mlps,4,0.4888888888888889,0.4,0.8444444444444444,0.9333333333333333,0.022222222222222254,-0.022222222222222254,5.625
95,full_core,10,0.8552631578947368,0.8026315789473685,nan,nan,0.0,0.0,9.5
95,contextual_supporter,4,0.6447368421052632,0.5131578947368421,0.8421052631578947,0.7894736842105263,0.013157894736842146,0.013157894736842146,9.5
